model	objective	gene	status	value
./model.xml	obj	G_PA14_15340	optimal	0.0
./model.xml	obj	G_PA14_15700	optimal	1.5908505726730349
./model.xml	obj	G_PA14_15720	optimal	1.5908505726730147
./model.xml	obj	G_PA14_15740	optimal	8.035004078542117e-14
./model.xml	obj	G_PA14_15780	optimal	1.590850572673004
./model.xml	obj	G_PA14_15790	optimal	1.5908505726730169
./model.xml	obj	G_PA14_15820	optimal	1.59085057267301
./model.xml	obj	G_PA14_15890	optimal	1.590850572673004
./model.xml	obj	G_PA14_16030	optimal	1.590850572672988
./model.xml	obj	G_PA14_16070	optimal	0.0
./model.xml	obj	G_PA14_16090	optimal	7.495085798063213e-16
./model.xml	obj	G_PA14_16130	optimal	1.5908505726729987
./model.xml	obj	G_PA14_16360	optimal	1.5908505726730187
./model.xml	obj	G_PA14_16390	optimal	1.5908505726730187
./model.xml	obj	G_PA14_16500	optimal	1.5908505726730198
./model.xml	obj	G_PA14_16660	optimal	1.5908505726730204
./model.xml	obj	G_PA14_16690	optimal	1.5908505726730306
./model.xml	obj	G_PA14_16700	optimal	4.5559656804690613e-14
./model.xml	obj	G_PA14_16860	optimal	1.5908505726729996
./model.xml	obj	G_PA14_16920	optimal	1.5908505726730082
./model.xml	obj	G_PA14_16930	optimal	1.590850572673021
./model.xml	obj	G_PA14_16950	optimal	0.0
./model.xml	obj	G_PA14_17010	optimal	1.5908505726730169
./model.xml	obj	G_PA14_17030	optimal	1.5908505726730273
./model.xml	obj	G_PA14_17080	optimal	0.0
./model.xml	obj	G_PA14_17110	optimal	1.5908505726730084
./model.xml	obj	G_PA14_17120	optimal	0.0
./model.xml	obj	G_PA14_17130	optimal	5.864710296410506e-16
./model.xml	obj	G_PA14_17180	optimal	0.0
./model.xml	obj	G_PA14_17190	optimal	1.4938298574410787
./model.xml	obj	G_PA14_17210	optimal	0.0
./model.xml	obj	G_PA14_17220	optimal	1.69429441991025e-14
./model.xml	obj	G_PA14_17250	optimal	1.5908505726730258
./model.xml	obj	G_PA14_17270	optimal	-1.365171504873443e-16
./model.xml	obj	G_PA14_17290	optimal	0.0
./model.xml	obj	G_PA14_17310	optimal	7.21057265251139e-14
./model.xml	obj	G_PA14_17320	optimal	1.561576996533296
./model.xml	obj	G_PA14_17340	optimal	0.0
./model.xml	obj	G_PA14_17400	optimal	1.5908505726730258
./model.xml	obj	G_PA14_17410	optimal	1.5908505726730273
./model.xml	obj	G_PA14_17420	optimal	0.0
./model.xml	obj	G_PA14_17450	optimal	1.590850572672991
./model.xml	obj	G_PA14_17520	optimal	1.5908505726933424
./model.xml	obj	G_PA14_17610	optimal	1.5908505726730169
./model.xml	obj	G_PA14_17620	optimal	1.5908505726730169
./model.xml	obj	G_PA14_17630	optimal	1.5908505726730169
./model.xml	obj	G_PA14_17640	optimal	1.5908505726730169
./model.xml	obj	G_PA14_17675	optimal	1.5908505726730182
./model.xml	obj	G_PA14_17740	optimal	1.5908505726730349
./model.xml	obj	G_PA14_17860	optimal	1.5908505726730349
./model.xml	obj	G_PA14_17880	optimal	1.5908505726730349
./model.xml	obj	G_PA14_17930	optimal	1.5908505726729996
./model.xml	obj	G_PA14_17960	optimal	1.5908505726730193
./model.xml	obj	G_PA14_17980	optimal	1.5908505726730193
./model.xml	obj	G_PA14_18010	optimal	1.5908505726730193
./model.xml	obj	G_PA14_18120	optimal	1.5908505726730187
./model.xml	obj	G_PA14_18140	optimal	1.5908505726730084
./model.xml	obj	G_PA14_18150	optimal	1.590850572673004
./model.xml	obj	G_PA14_18180	optimal	1.5908505726730298
./model.xml	obj	G_PA14_18250	optimal	1.5908505726729987
./model.xml	obj	G_PA14_18260	optimal	1.5908505726729987
./model.xml	obj	G_PA14_18275	optimal	1.5908505726729987
./model.xml	obj	G_PA14_18300	optimal	1.5908505726730187
./model.xml	obj	G_PA14_18380	optimal	1.590850572673052
./model.xml	obj	G_PA14_18410	optimal	1.5908505726730062
./model.xml	obj	G_PA14_18430	optimal	1.5908505726730062
./model.xml	obj	G_PA14_18450	optimal	1.5908505726730062
./model.xml	obj	G_PA14_18480	optimal	1.5908505726730062
./model.xml	obj	G_PA14_18500	optimal	1.5908505726730062
./model.xml	obj	G_PA14_18510	optimal	1.5908505726730062
./model.xml	obj	G_PA14_18520	optimal	1.5908505726730062
./model.xml	obj	G_PA14_18550	optimal	1.5908505726730087
./model.xml	obj	G_PA14_18565	optimal	1.5908505726730087
./model.xml	obj	G_PA14_18580	optimal	1.5908505726730224
./model.xml	obj	G_PA14_18600	optimal	1.5908505726730047
./model.xml	obj	G_PA14_18610	optimal	1.585457435374412
./model.xml	obj	G_PA14_18670	optimal	1.5908505726730306
./model.xml	obj	G_PA14_18690	optimal	1.590850572672991
./model.xml	obj	G_PA14_18710	optimal	1.590850572673025
./model.xml	obj	G_PA14_18740	optimal	1.59085057267304
./model.xml	obj	G_PA14_18750	optimal	1.5908505726730222
./model.xml	obj	G_PA14_18970	optimal	1.5908505726730062
./model.xml	obj	G_PA14_19050	optimal	1.5908505726730102
./model.xml	obj	G_PA14_19090	optimal	1.5908505726730204
./model.xml	obj	G_PA14_19100	optimal	1.5908505726730306
./model.xml	obj	G_PA14_19110	optimal	1.5908505726730062
./model.xml	obj	G_PA14_19130	optimal	1.5908505726730062
./model.xml	obj	G_PA14_19140	optimal	1.590850572694206
./model.xml	obj	G_PA14_19190	optimal	1.5908505726730349
./model.xml	obj	G_PA14_19370	optimal	1.59085057267304
./model.xml	obj	G_PA14_19400	optimal	1.5908505726730062
./model.xml	obj	G_PA14_19410	optimal	1.5908505726730309
./model.xml	obj	G_PA14_19430	optimal	1.5908505726730207
./model.xml	obj	G_PA14_19470	optimal	1.5908505726730107
./model.xml	obj	G_PA14_19500	optimal	1.5908505726730062
./model.xml	obj	G_PA14_19510	optimal	1.5908505726730062
./model.xml	obj	G_PA14_19520	optimal	1.5908505726730062
./model.xml	obj	G_PA14_19530	optimal	1.5908505726730062
./model.xml	obj	G_PA14_19540	optimal	1.5908505726730047
./model.xml	obj	G_PA14_19560	optimal	1.5908505726730047
./model.xml	obj	G_PA14_19570	optimal	1.590850572673035
./model.xml	obj	G_PA14_19580	optimal	1.5908505726730047
./model.xml	obj	G_PA14_19630	optimal	1.5908505726730091
./model.xml	obj	G_PA14_19640	optimal	1.5908505726730306
./model.xml	obj	G_PA14_19660	optimal	1.5908505726730349
./model.xml	obj	G_PA14_19770	optimal	1.5908505726730062
./model.xml	obj	G_PA14_19870	optimal	1.5908505726730222
./model.xml	obj	G_PA14_19900	optimal	1.590850572672991
./model.xml	obj	G_PA14_19910	optimal	1.590850572672991
./model.xml	obj	G_PA14_20140	optimal	1.5908505726730349
./model.xml	obj	G_PA14_20150	optimal	1.5908505726730306
./model.xml	obj	G_PA14_20170	optimal	1.5908505726730306
./model.xml	obj	G_PA14_20180	optimal	1.5908505726730306
./model.xml	obj	G_PA14_20190	optimal	1.5908505726730306
./model.xml	obj	G_PA14_20200	optimal	1.5908505726730306
./model.xml	obj	G_PA14_20270	optimal	1.5908505726730071
./model.xml	obj	G_PA14_20300	optimal	1.5908505726730222
./model.xml	obj	G_PA14_20320	optimal	1.5908505726730062
./model.xml	obj	G_PA14_20330	optimal	1.5908505726730062
./model.xml	obj	G_PA14_20400	optimal	1.5908505726730071
./model.xml	obj	G_PA14_20420	optimal	1.5908505726730062
./model.xml	obj	G_PA14_20440	optimal	1.5908505726730204
./model.xml	obj	G_PA14_20560	optimal	1.5908505726730258
